STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,AGE,,SEX,,UNIT_MEASURE,,METHODOLOGY,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2016,,164.5,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2017,,165.7,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2018,,170.9,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2019,,175,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2020,,176.3,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,USA,,A,,FTS,,_T,,_T,,G_PS_D,,_Z,,2021,,178.3,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1961,,3256,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1962,,3323,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1963,,3104,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1964,,3142,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1965,,3156,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1966,,3085,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1967,,2979,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1968,,2921,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1969,,2892,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1970,,3016,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1971,,2951,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1972,,3068,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1973,,2945,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1974,,2948,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1975,,2975,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1976,,3038,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1977,,3047,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1978,,3108,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1979,,3203,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1980,,3167,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1981,,3300,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1982,,3191,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1983,,3187,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1984,,3204,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1985,,3163,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1986,,3294,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1987,,3208,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1988,,3113,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1989,,3148,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1990,,3057,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1991,,3117,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1992,,3106,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1993,,3086,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1994,,3124,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1995,,3111,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1996,,3032,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1997,,3108,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1998,,3117,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,1999,,3160,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2000,,3152,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2001,,3148,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2002,,3214,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2003,,3236,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2004,,3290,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2005,,3323,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2006,,3401,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2007,,3458,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2008,,3428,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2009,,3394,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2010,,3282,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2011,,3282,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2012,,3337,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2013,,3337,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2014,,3369,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2015,,3442,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2016,,3549,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2017,,3607,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2018,,3620,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2019,,3657,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2020,,3634,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,CLS,,_T,,_T,,KCAL_PS_D,,_Z,,2021,,3612,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,SP_CVGD,,Y_GE15,,_T,,PT_POP,,SRVY,,2002,,46.6,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,SP_CVGD,,Y_GE15,,_T,,PT_POP,,SRVY,,2010,,48.5,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,SP_CVGD,,Y_GE15,,_T,,PT_POP,,SRVY,,2014,,46.9,,A,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,SP_CVGD,,Y_GE15,,_T,,PT_POP,,SRVY,,2015,,56.3,,D,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,SP_CVGD,,Y_GE15,,_T,,PT_POP,,SRVY,,2016,,60.3,,D,,0,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_LVNG@DF_HEALTH_LVNG(1.0),,I,ISL,,A,,SP_CVGD,,Y_GE15,,_T,,PT_POP,,SRVY,,2017,,62.6,,D,,0,,,
